Customer,Project Billing,Product,Datacenter,Project Product,SUM of Latest ARC EUR
,,,,QuantFEED Market Data - Regional Exchanges Germany (1136:REG) - Ref,"1,206"
,,,,QuantFEED Market Data - SGX FX Futures & Options (1458:SFX) - Ref,0
,,,,QuantFEED Market Data - Singapore SE Derivatives Commodity Futures & Options (1221:SGY) - Ref,"1,206"
,,,,QuantFEED Market Data - Singapore SE Derivatives Index Futures & Options  (1222:SGZ) - Ref,"1,206"
,,,,"QuantFEED Market Data - SIX Structured Products (ex Scoach SWX) IMI (1218:SIY) - Ref, L1, L2 MBL Depth5 - Real-Time",0
,,,,"QuantFEED Market Data - SIX Swiss incl. SWX Europe IMI (1217:SIX) - Ref, L1, L2 MBL Depth5 - Real-Time","15,939"
,,,,QuantFEED Market Data - Stock Exchange of Thailand Derivatives (1199:THD) - Ref,"1,111"
,,,,"QuantFEED Market Data - STOXX Indices (1106:DJI) - Ref, L1 - Real-Time",0
,,,,QuantFEED Market Data - TMX Toronto (Quantum) (1097:TMX) - Ref,"1,206"
,,,,QuantFEED Market Data - TMX Toronto Venture (Quantum) (1122:TSX) - Ref,"1,206"
,,,,"QuantFEED Market Data - Tradegate (1135:TGT) - Ref, L1 - Real-Time","25,019"
,,,,"QuantFEED Market Data - Turquoise - CERT (1098:TRQ) - Ref, L1, L2 MBL Depth10 - Real-Time","7,379"
,,,,"QuantFEED Market Data - Turquoise (1098:TRQ) - Ref, L1, L2 MBL Depth10 - Real-Time","34,535"
,,,,"QuantFEED Market Data - Turquoise Europe (1304:TUR) - Ref, L1, L2 MBL Depth10 - Real-Time","11,669"
,,,,QuantFEED Market Data - Vienna Cash Market & Structured Products (1121:VIR) - Ref,"1,206"
,,,,"QuantFEED Market Data - Warsaw Stock Exchange, Warsaw Stock Exchange (NewConnect) (1101:WAR,1230:WAS) - Ref","1,111"
,,,,"QuantFEED Market Data - Xetra Core (1102:DES) - Ref, L1, L2 MBL Depth10 - Real-Time","15,939"
,,,,"QuantFEED Market Data - Xetra ETFs & ETPs (1453:XET) - Ref, L1, L2 MBL Depth5 - Real-Time",0
,,,,"QuantFEED Market Data - Xetra European Stars (1103:DEE) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,,"QuantFEED Market Data - Xetra Ultra - CERT (1108:DEP) - Ref, L1, L2 MBL Depth10 - Real-Time","7,379"
,,,,"QuantFEED Market Data - Xetra Ultra (1108:DEP) - Ref, L1, L2 MBL Depth10 - Real-Time","13,283"
,,,,"QuantFEED Market Data - Xetra US Stars (1104:DEU) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,Client facility - Total,,"490,522"
,,,Client facility,"QuantFEED Market Data - Citadel SI Block (1369:CIZ) - Ref, L1 - Real-Time","3,647"
,,,,"QuantFEED Market Data - Citadel SI EBBO (1367:CIX) - Ref, L1 - Real-Time","3,647"
,,,,"QuantFEED Market Data - Citadel SI PI (1368:CIY) - Ref, L1 - Real-Time","3,647"
,,,,"QuantFEED Market Data - XTX Markets SI (above SMS) excluding Swiss (1383:XTB) - Ref, L1, L2 MBL Depth20 - Real-Time","5,105"
,,,Client facility - Total,,"16,045"
,,QuantFEED Total,,,"1,081,535"
,,,,,"1,081,535"
[anonymised],Customer 6,QuantFEED,EU - Slough - Equinix - LD4,"QuantFEED Market Data - Aquis MTF EU (1306:AQV) - Ref, L1, L2 MBO - Real-Time","7,880"
,,,,"QuantFEED Market Data - Aquis MTF UK (1227:AQU) - Ref, L1, L2 MBO - Real-Time","15,761"
,,,,"QuantFEED Market Data - BME MEFF Derivatives (1013:MEF) - Ref, L1, L2 MBL Depth5 - Real-Time","9,335"
,,,,"QuantFEED Market Data - BME SIB Equities (1012:BME) - Ref, L1, L2 MBL Depth5 - Real-Time","13,336"
,,,,"QuantFEED Market Data - Borsa Istanbul Equities (1193:BIE) - Ref, L1, L2 MBL Depth10 - Real-Time","13,336"
,,,,"QuantFEED Market Data - Budapest RapidADH (1144:RBD) - Ref, L1, L2 MBL Depth20 - Real-Time","13,336"
,,,,"QuantFEED Market Data - Cboe Europe BXE and CXE (1007:BAE) - Ref, L1, L2 MBO - Real-Time","15,761"
,,,,"QuantFEED Market Data - Cboe Europe DXE (1305:CBV) - Ref, L1, L2 MBO - Real-Time","7,880"
,,,,"QuantFEED Market Data - Cboe Europe TRF (1211:BTR) - Ref, L1, L2 MBL Depth5 - Real-Time","13,336"
,,,,"QuantFEED Market Data - Chicago Mercantile Exchange CME (1027:CME) - Ref, L1, L2 MBO - Real-Time","15,761"
,,,,"QuantFEED Market Data - Eurex Ultra Futures (1032:EUF) - Ref, L1, L2 MBL Depth10 - Real-Time","13,336"
,,,,"QuantFEED Market Data - Eurex Ultra Options (1033:EUO) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,,"QuantFEED Market Data - Euronext Cash Market (1034:EUR) - Ref, L1, L2 MBO - Real-Time","15,761"
,,,,"QuantFEED Market Data - Euronext Commodities Derivatives (1073:LIC) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,,"QuantFEED Market Data - Euronext Dublin Equities (1301:EUV) - Ref, L1, L2 MBO - Real-Time","7,880"
,,,,"QuantFEED Market Data - Euronext Equity and Index Derivatives (1072:LII) - Ref, L1, L2 MBL Depth10 - Real-Time","13,336"
,,,,"QuantFEED Market Data - Euronext Milan AFF (1437:EUX) - Ref, L1, L2 MBO - Real-Time","15,010"
,,,,"QuantFEED Market Data - Euronext Milan DER (1018:IDM) - Ref, L1, L2 MBL Depth5 - Real-Time","9,335"
,,,,"QuantFEED Market Data - Euronext Milan GEM (1439:EUZ) - Ref, L1, L2 MBO - Real-Time",0
,,,,"QuantFEED Market Data - Euronext Milan TAH (1438:EUY) - Ref, L1, L2 MBO - Real-Time",0
,,,,"QuantFEED Market Data - ICE Futures EU Commodities (1041:ICE) - Ref, L1, L2 MBL Depth10 - Real-Time","13,336"
,,,,"QuantFEED Market Data - ICE Futures EU Financials (1175:ICL) - Ref, L1, L2 MBO - Real-Time","15,761"
,,,,"QuantFEED Market Data - JSE Equities (1047:JSE) - Ref, L1, L2 MBO - Real-Time","15,761"
,,,,"QuantFEED Market Data - LSE European Market, LSE International Market (1054:LEE,1055:LEI) - Ref, L1, L2 MBO - Real-Time",0
,,,,"QuantFEED Market Data - LSE UK Market (1053:LSE) - Ref, L1, L2 MBO - Real-Time","15,761"
,,,,"QuantFEED Market Data - NASDAQ Nordic Derivatives TotalView (1214:NAT) - Ref, L1, L2 MBO - Real-Time","11,032"
,,,,"QuantFEED Market Data - NASDAQ Nordic Equity TotalView (1062:TOT) - Ref, L1, L2 MBO - Real-Time","15,761"
,,,,"QuantFEED Market Data - Oslo Bors Equities (1364:EUW) - Ref, L1, L2 MBO - Real-Time","15,761"
,,,,"QuantFEED Market Data - Prague RapidADH (1402:PRA) - Ref, L1, L2 MBL Depth15 - Real-Time","13,336"
,,,,"QuantFEED Market Data - SIX Swiss incl. SWX Europe IMI (1217:SIX) - Ref, L1, L2 MBO - Real-Time","15,761"
,,,,"QuantFEED Market Data - Tel Aviv Shares (1147:TAS) - Ref, L1, L2 MBL Depth5 - Real-Time","13,336"
,,,,"QuantFEED Market Data - TRADEcho (1234:LSF) - Ref, L1, L2 MBL Depth10 - Real-Time","6,789"
,,,,"QuantFEED Market Data - Turquoise (1098:TRQ) - Ref, L1, L2 MBO - Real-Time","15,761"
,,,,"QuantFEED Market Data - Turquoise Europe (1304:TUR) - Ref, L1, L2 MBO - Real-Time","7,880"
,,,,"QuantFEED Market Data - Vienna Cash Market & Structured Products (1121:VIR) - Ref, L1, L2 MBL Depth20 - Real-Time","13,336"
